"Brand_Reg","Labelled_Energy_Consumption"
"AIWA",239.7446808510638
"AKAI",222.57499999999996
"AOA",161.6
"ARK",53
"Altius",75.5
"Avel Innovations",108.66666666666667
"BAUHN",269.2876712328767
"BLAUPUNKT",360.84848484848476
"Blaupunkt",378.8333333333333
"Brooklyn",125
"CAIXUN",157.66666666666669
"CHiQ",375.15217391304344
"COOCAA",242.85714285714286
"Caixun",132.98000000000002
"DECAMAX",430
"DEVANTI",760
"DEVANTi",554
"DGTEC",341.8461538461539
"Dynalink",76
"EKO",368.26041666666714
"EMETE",679.3999999999999
"ENGLAON",163.68749999999994
"FFALCON",240.49999999999994
"FPD",130
"FURRION",102
"Gorilla",132
"HISENSE",534.1634980988593
"HYUNDAI",397.5
"Hubbl",240
"Hubbl Glass",220
"ILUMA",115.50000000000001
"JVC",344.16197183098603
"KOGAN",359.7309236947791
"KONIC",289.1875
"KONKA",287.0294117647059
"Kodak",244.2
"Kogan",454.60606060606045
"LG",487.66998341625214
"LOEWE",297.62962962962956
"LSP TV",60
"Linsar",313.47727272727275
"METZ",450
"MYVI",88.33333333333333
"Monster",68.75
"PHILIPS",405.7213114754099
"PRISM+",451.625
"Palsonic",439
"Panasonic",369.5581395348836
"Philips",556.25
"Polaroid",229.2142857142857
"QBELL",334.83333333333337
"RCA",90
"S VISION",379
"SAMSUNG",547.5308641975311
"SHARP",358.9
"SKYWORTH",312.2666666666666
"SMARTTECH",281
"SMTV",336.4
"SONIQ",336
"SONY",596.390625
"SVISION",190.66666666666666
"SYLVOX",322.5454545454546
"Samsung",577.1503416856499
"ShareTV",106
"Sharp",507
"Shenzhen Xinchaoda Technology Co., Ltd",378.5
"Signify",378
"Skyworth",671.75
"Smarttech",130.5
"Sony",597.4814814814815
"Spark Electronics",822.8275862068967
"Sphere",85.46153846153845
"Stan Cash",60
"Sylvox",163.4545454545454
"TAVICE",477
"TCL",611.2747252747253
"TEAC",222.2857142857143
"TECO",217.33333333333334
"TELEFUNKEN",204.55555555555554
"TENET",58
"THOMSON",178
"TOSHIBA",436.54
"VDT",78
"VEON",378.8571428571429
"Veon",348.2222222222223
"WALTON",130.66666666666669
"WINTAL",72
"Yokohama",76
"ZEN TV",109.75
"coocaa",310.8333333333333
"digitech",93.22222222222223
"kogan",412.3076923076924
"yokohama",482
